like1,parx,pary,parz,simulation_0,chain
inf,-2.547,-7.965,4.1,inf,1.0
inf,5.992,-6.58,-7.25,inf,1.0
inf,-0.1837,9.86,9.86,inf,1.0
3616.0,2.396,2.072,-0.4656,3616.0,1.0
inf,-7.98,-9.01,-1.842,inf,1.0
28700.0,3.37,-2.69,-2.242,28700.0,1.0
inf,-8.82,-3.326,6.855,inf,1.0
inf,7.027,-5.58,-4.26,inf,1.0
35170.0,-4.41,2.06,-2.773,35170.0,1.0
inf,-8.875,-2.318,-4.3,inf,1.0
inf,-8.39,-0.694,-4.86,inf,1.0
45860.0,2.887,-3.133,-8.266,45860.0,1.0
10264.0,1.248,-3.088,0.5464,10264.0,1.0
inf,-4.223,-2.938,-9.84,inf,1.0
11140.0,-2.127,-2.953,1.294,11140.0,1.0
16640.0,0.9478,-3.443,-0.2803,16640.0,1.0
inf,8.43,-7.695,-6.992,inf,1.0
inf,-8.89,-3.95,2.867,inf,1.0
inf,-2.861,8.69,-9.29,inf,1.0
inf,5.984,7.496,-4.168,inf,1.0
inf,-5.51,-1.379,9.21,inf,1.0
inf,-0.9316,7.25,0.6304,inf,1.0
inf,1.0,-8.47,5.598,inf,1.0
inf,9.08,7.0,1.45,inf,1.0
inf,-0.424,-5.25,-5.305,inf,1.0
inf,-2.76,-9.65,7.996,inf,1.0
inf,6.902,7.215,6.59,inf,1.0
inf,-6.734,-7.715,5.914,inf,1.0
inf,6.242,0.29,-6.746,inf,1.0
791.0,1.616,2.39,2.914,791.0,1.0
17100.0,-0.8716,-2.352,-7.16,17100.0,1.0
inf,-9.94,6.36,-1.729,inf,1.0
inf,-5.293,2.55,-2.889,inf,1.0
inf,-6.57,6.273,-6.414,inf,1.0
7828.0,1.17,-0.4539,-8.45,7828.0,1.0
inf,7.242,-7.82,4.734,inf,1.0
inf,-7.586,-0.2773,-3.008,inf,1.0
inf,-4.96,-3.225,-2.762,inf,1.0
inf,6.527,-6.016,-9.53,inf,1.0
inf,3.883,-7.32,5.07,inf,1.0
inf,-5.26,8.75,-6.008,inf,1.0
49950.0,4.645,-0.729,-0.8496,49950.0,1.0
inf,2.2,8.44,9.23,inf,1.0
44060.0,-4.79,3.002,2.422,44060.0,1.0
inf,8.02,4.49,5.113,inf,1.0
14650.0,-2.848,-0.931,-7.168,14650.0,1.0
inf,2.12,7.01,-6.395,inf,1.0
22850.0,3.898,0.1571,-1.395,22850.0,1.0
inf,-1.563,-6.824,5.125,inf,1.0
1361.0,0.851,-0.569,-3.127,1361.0,1.0
inf,-9.836,4.094,-6.902,inf,1.0
45250.0,1.638,-4.953,4.67,45250.0,1.0
inf,-6.48,4.855,-3.676,inf,1.0
inf,0.9673,6.47,4.312,inf,1.0
inf,7.14,6.535,8.21,inf,1.0
129.8,0.10004,0.513,1.28,129.8,1.0
inf,6.1,-0.93,1.921,inf,1.0
12020.0,-3.102,1.511,-5.086,12020.0,1.0
inf,4.746,-8.09,6.664,inf,1.0
inf,-5.797,-0.4058,-4.1,inf,1.0
inf,6.043,-7.81,-4.863,inf,1.0
inf,2.887,-6.035,6.285,inf,1.0
35840.0,-2.562,-3.516,-3.658,35840.0,1.0
inf,8.98,-2.879,0.2202,inf,1.0
inf,4.098,-9.5,8.6,inf,1.0
inf,-7.266,1.047,5.008,inf,1.0
inf,-9.266,4.816,-6.625,inf,1.0
inf,9.1,9.1,-4.277,inf,1.0
inf,-6.83,5.96,-4.05,inf,1.0
inf,-6.695,4.03,5.523,inf,1.0
inf,-2.258,-8.23,8.57,inf,1.0
inf,-4.812,-5.13,-7.1,inf,1.0
inf,3.361,-8.59,0.872,inf,1.0
inf,8.01,-1.985,-2.49,inf,1.0
38660.0,-4.547,4.51,9.17,38660.0,1.0
inf,-6.832,3.113,-6.16,inf,1.0
6150.0,-0.3308,2.842,0.724,6150.0,1.0
2888.0,-1.479,-1.557,6.266,2888.0,1.0
2074.0,1.608,-1.614,4.34,2074.0,1.0
inf,7.79,-2.875,1.296,inf,1.0
3328.0,2.64,2.195,8.05,3328.0,1.0
inf,-5.984,-0.9844,-0.3975,inf,1.0
inf,9.71,8.97,-3.559,inf,1.0
inf,8.53,-5.082,-1.449,inf,1.0
65500.0,-3.05,5.453,4.46,65500.0,1.0
inf,-6.16,6.332,-1.747,inf,1.0
inf,8.04,-9.36,-0.71,inf,1.0
inf,-4.25,-5.645,-8.47,inf,1.0
inf,7.79,6.906,-9.9,inf,1.0
46850.0,-4.26,-3.35,8.91,46850.0,1.0
inf,-3.87,-5.812,-4.87,inf,1.0
44830.0,3.885,-1.704,-9.97,44830.0,1.0
inf,8.11,-1.331,-2.256,inf,1.0
inf,-0.263,-9.54,7.848,inf,1.0
13260.0,2.262,1.72,-8.05,13260.0,1.0
inf,-5.1,-0.828,-0.506,inf,1.0
19940.0,-0.1455,-4.562,7.49,19940.0,1.0
inf,-7.414,-4.914,-9.984,inf,1.0
inf,-6.176,5.195,8.19,inf,1.0
inf,2.896,6.87,4.86,inf,1.0
inf,7.977,7.39,-3.223,inf,1.0
inf,0.5493,-7.46,8.99,inf,1.0
inf,-0.781,6.375,-4.32,inf,1.0
inf,2.545,-7.55,-1.243,inf,1.0
1254.0,0.7935,-2.572,8.086,1254.0,1.0
inf,-5.414,-3.352,-0.921,inf,1.0
inf,6.02,-3.207,2.773,inf,1.0
inf,-5.535,1.28,3.77,inf,1.0
inf,-4.63,-5.1,7.03,inf,1.0
inf,-5.797,4.074,-5.645,inf,1.0
3242.0,2.258,-0.4827,-0.8696,3242.0,1.0
inf,-6.41,-8.96,-3.117,inf,1.0
inf,1.016,-5.633,-9.55,inf,1.0
inf,8.94,-9.695,2.357,inf,1.0
inf,-9.484,-2.281,-4.004,inf,1.0
10610.0,-0.1007,-2.55,-3.46,10610.0,1.0
inf,-9.14,-8.22,-3.246,inf,1.0
39520.0,-4.05,-3.055,5.332,39520.0,1.0
647.0,0.756,1.778,0.926,647.0,1.0
inf,-0.992,-8.84,-1.881,inf,1.0
inf,4.99,5.445,9.95,inf,1.0
inf,7.07,-3.525,-6.723,inf,1.0
inf,-8.93,-0.3628,5.18,inf,1.0
inf,7.95,-9.58,-1.935,inf,1.0
29540.0,2.316,-3.402,-3.188,29540.0,1.0
inf,1.004,-6.316,1.541,inf,1.0
inf,-3.516,-8.984,8.69,inf,1.0
inf,-8.734,-9.91,-6.04,inf,1.0
inf,-1.607,-5.785,5.336,inf,1.0
inf,-9.12,-4.973,-0.966,inf,1.0
inf,-9.52,-8.1,6.906,inf,1.0
inf,7.773,9.84,8.76,inf,1.0
inf,-1.133,-6.5,-9.63,inf,1.0
inf,7.68,-8.61,0.3005,inf,1.0
30130.0,0.455,2.748,-9.62,30130.0,1.0
21360.0,3.78,-0.309,-0.694,21360.0,1.0
12990.0,3.314,-0.396,0.715,12990.0,1.0
inf,-6.504,9.06,6.926,inf,1.0
65400.0,-5.062,0.4985,4.96,65400.0,1.0
inf,6.21,-5.043,2.568,inf,1.0
inf,8.734,9.18,-3.752,inf,1.0
7624.0,-2.2,-0.4795,7.152,7624.0,1.0
inf,3.072,8.805,-2.63,inf,1.0
inf,0.644,7.016,0.3022,inf,1.0
inf,-6.258,-0.1539,-6.496,inf,1.0
inf,-9.3,-5.496,1.437,inf,1.0
inf,-8.336,-9.23,-7.574,inf,1.0
inf,-6.15,-2.166,-2.203,inf,1.0
59100.0,-4.89,0.9746,8.945,59100.0,1.0
31970.0,-3.893,-2.113,-0.1431,31970.0,1.0
inf,-1.422,9.16,-7.42,inf,1.0
inf,8.62,8.24,3.77,inf,1.0
12850.0,-2.799,0.8223,-8.23,12850.0,1.0
607.5,-1.621,1.831,1.035,607.5,1.0
inf,7.594,-6.04,-7.457,inf,1.0
inf,-9.19,0.4983,5.254,inf,1.0
12220.0,-3.186,-0.00381,-4.37,12220.0,1.0
inf,-7.66,-1.926,-1.298,inf,1.0
inf,7.074,0.7295,-2.078,inf,1.0
inf,-7.125,-7.438,7.508,inf,1.0
inf,9.63,-4.94,-9.87,inf,1.0
inf,1.332,-7.188,-4.363,inf,1.0
inf,7.105,8.52,-8.664,inf,1.0
49380.0,4.61,2.229,-6.53,49380.0,1.0
inf,9.42,0.984,-1.172,inf,1.0
inf,0.3833,9.34,6.426,inf,1.0
10984.0,0.3718,-0.7393,-9.9,10984.0,1.0
inf,7.668,7.074,8.71,inf,1.0
inf,1.518,6.98,-8.875,inf,1.0
11730.0,-1.082,4.47,9.664,11730.0,1.0
40800.0,-4.01,2.824,-7.25,40800.0,1.0
inf,-8.31,-4.24,1.348,inf,1.0
inf,7.82,-2.152,-4.566,inf,1.0
inf,1.051,-9.625,-9.28,inf,1.0
inf,7.324,9.95,-7.16,inf,1.0
inf,-1.2705,9.34,-5.57,inf,1.0
inf,-0.5137,-6.023,-9.805,inf,1.0
inf,-5.965,-3.17,-6.82,inf,1.0
inf,-6.164,2.377,0.849,inf,1.0
inf,-5.812,8.96,3.732,inf,1.0
inf,-6.473,1.649,-3.771,inf,1.0
1243.0,-1.811,2.441,2.55,1243.0,1.0
inf,3.281,5.676,-1.517,inf,1.0
inf,8.23,3.268,-0.843,inf,1.0
inf,-8.88,7.918,3.367,inf,1.0
inf,-9.84,7.613,4.492,inf,1.0
inf,9.84,1.841,-1.813,inf,1.0
10616.0,-3.393,3.5,5.79,10616.0,1.0
inf,-9.766,7.6,3.764,inf,1.0
inf,7.53,-4.316,9.46,inf,1.0
inf,8.266,-3.803,-8.76,inf,1.0
inf,-4.133,4.08,-6.19,inf,1.0
inf,-9.06,6.535,-3.566,inf,1.0
52060.0,-0.2092,4.41,-2.941,52060.0,1.0
inf,3.39,-7.0,-1.714,inf,1.0
inf,-7.207,-9.73,4.88,inf,1.0
inf,-2.242,6.14,-7.723,inf,1.0
inf,-9.55,-4.18,8.305,inf,1.0
inf,8.664,-2.281,6.43,inf,1.0
601.5,-0.10333,2.088,5.656,601.5,1.0
inf,-5.28,8.01,-3.814,inf,1.0
inf,-7.08,0.76,7.445,inf,1.0
inf,-4.41,-7.8,5.63,inf,1.0
inf,-5.637,-7.35,0.7026,inf,1.0
inf,-7.05,-1.501,-6.953,inf,1.0
inf,-5.875,-9.07,9.164,inf,1.0
3564.0,2.145,-0.993,-1.082,3564.0,1.0
inf,-6.055,0.6826,8.86,inf,1.0
inf,8.77,-7.68,0.5195,inf,1.0
inf,5.723,-7.844,-6.797,inf,1.0
inf,9.78,2.088,6.46,inf,1.0
inf,-2.838,-8.67,1.876,inf,1.0
inf,-0.4485,8.734,7.605,inf,1.0
inf,-6.91,0.8154,5.617,inf,1.0
inf,9.516,4.176,3.766,inf,1.0
inf,4.246,-9.19,7.78,inf,1.0
inf,7.953,-1.468,-9.12,inf,1.0
inf,6.625,4.973,6.285,inf,1.0
inf,3.463,7.42,3.207,inf,1.0
inf,-6.38,-2.287,2.238,inf,1.0
inf,6.855,7.562,-5.176,inf,1.0
inf,7.453,1.979,2.332,inf,1.0
inf,4.188,5.887,5.645,inf,1.0
inf,-5.957,-1.108,-0.3872,inf,1.0
inf,-5.13,-5.344,6.766,inf,1.0
27230.0,1.579,4.773,6.445,27230.0,1.0
inf,8.09,9.234,8.05,inf,1.0
inf,5.37,-0.901,-5.777,inf,1.0
inf,-8.17,3.338,-1.062,inf,1.0
inf,9.625,-4.652,-0.4934,inf,1.0
inf,8.72,-4.695,7.99,inf,1.0
inf,7.523,-1.345,-2.285,inf,1.0
inf,-7.613,8.945,-8.98,inf,1.0
inf,-3.158,-5.23,-0.563,inf,1.0
inf,7.195,7.754,7.207,inf,1.0
7080.0,1.247,-0.1544,-8.21,7080.0,1.0
inf,-9.61,6.72,2.744,inf,1.0
inf,-5.836,7.832,3.902,inf,1.0
inf,-5.555,5.332,-7.54,inf,1.0
inf,-8.39,-1.073,1.555,inf,1.0
413.8,0.1652,-1.94,3.354,413.8,1.0
inf,9.94,4.05,3.209,inf,1.0
inf,6.387,-9.234,3.21,inf,1.0
inf,-7.195,4.285,0.5176,inf,1.0
inf,-3.314,-7.78,-4.98,inf,1.0
21840.0,3.012,-2.324,-4.0,21840.0,1.0
inf,3.525,-9.07,-2.137,inf,1.0
inf,7.434,4.754,5.906,inf,1.0
inf,-7.668,-9.61,-4.04,inf,1.0
inf,4.703,5.99,-3.42,inf,1.0
inf,1.267,-7.797,-7.34,inf,1.0
inf,8.16,0.924,5.14,inf,1.0
inf,1.599,8.59,7.64,inf,1.0
inf,-2.701,-5.44,4.777,inf,1.0
inf,-5.23,-9.57,0.1296,inf,1.0
inf,-8.13,-0.56,-9.2,inf,1.0
50660.0,4.61,0.654,9.54,50660.0,1.0
4948.0,-3.172,3.07,8.836,4948.0,1.0
9290.0,1.18,-2.547,-2.299,9290.0,1.0
inf,-5.09,-9.81,-7.34,inf,1.0
11600.0,2.34,-1.642,-5.387,11600.0,1.0
inf,-4.06,-5.56,9.195,inf,1.0
inf,4.96,4.3,-1.647,inf,1.0
inf,6.297,4.055,4.184,inf,1.0
inf,-0.3887,-8.52,4.67,inf,1.0
inf,-3.746,4.81,-3.506,inf,1.0
inf,-6.34,7.77,0.252,inf,1.0
10530.0,2.816,-1.896,6.535,10530.0,1.0
inf,-1.651,-9.3,-8.83,inf,1.0
inf,0.2024,7.26,0.1611,inf,1.0
inf,-5.082,-9.0,9.04,inf,1.0
inf,-7.0,8.3,4.316,inf,1.0
7980.0,-2.174,4.32,9.74,7980.0,1.0
inf,2.324,6.72,4.86,inf,1.0
inf,-0.06384,-6.992,2.97,inf,1.0
48260.0,4.83,2.074,9.94,48260.0,1.0
inf,-3.0,-9.29,6.375,inf,1.0
inf,6.816,5.113,7.445,inf,1.0
inf,8.47,1.583,2.475,inf,1.0
inf,-3.48,-6.047,-8.234,inf,1.0
inf,-0.648,5.234,0.01697,inf,1.0
inf,6.39,-6.805,2.178,inf,1.0
inf,-7.613,8.32,2.13,inf,1.0
60450.0,-4.777,0.1642,9.516,60450.0,1.0
inf,7.562,-9.18,-2.406,inf,1.0
inf,8.195,2.658,3.605,inf,1.0
14880.0,-3.184,-2.049,4.21,14880.0,1.0
inf,-4.33,4.92,-0.1285,inf,1.0
inf,-6.78,-3.633,-8.695,inf,1.0
inf,2.781,-6.62,9.45,inf,1.0
23700.0,3.896,0.7056,5.727,23700.0,1.0
inf,-9.914,2.719,2.049,inf,1.0
inf,1.556,-7.785,1.851,inf,1.0
inf,-3.857,8.625,5.586,inf,1.0
29400.0,-0.7188,3.691,-3.229,29400.0,1.0
inf,8.234,-0.1947,2.959,inf,1.0
inf,5.227,4.656,2.87,inf,1.0
inf,4.473,-9.86,4.777,inf,1.0
inf,5.63,9.36,3.625,inf,1.0
inf,-1.252,5.59,-0.351,inf,1.0
inf,1.183,6.566,6.4,inf,1.0
inf,3.318,8.51,-2.2,inf,1.0
5772.0,-0.651,1.291,9.21,5772.0,1.0
inf,4.938,8.43,-8.9,inf,1.0
415.8,-1.943,2.729,9.164,415.8,1.0
39840.0,-4.707,2.328,3.24,39840.0,1.0
inf,-1.972,-8.945,-9.76,inf,1.0
inf,-7.395,6.445,4.586,inf,1.0
inf,3.824,-9.67,4.836,inf,1.0
3714.0,2.06,-1.792,2.455,3714.0,1.0
30540.0,-4.008,-1.037,4.68,30540.0,1.0
inf,-5.676,-5.266,-5.203,inf,1.0
inf,1.238,6.086,1.105,inf,1.0
8770.0,-2.496,-0.8984,-5.254,8770.0,1.0
inf,0.04053,5.625,-0.926,inf,1.0
inf,-7.855,-1.8545,-8.1,inf,1.0
inf,9.4,3.725,-2.9,inf,1.0
inf,-7.117,2.508,0.7153,inf,1.0
inf,-6.848,-0.2034,5.082,inf,1.0
inf,9.375,-4.793,-5.62,inf,1.0
28750.0,0.2957,-4.434,3.305,28750.0,1.0
inf,-5.297,6.016,2.406,inf,1.0
inf,4.98,-2.805,-4.27,inf,1.0
13890.0,0.0136,3.307,-0.3728,13890.0,1.0
inf,6.656,-9.23,5.83,inf,1.0
inf,-7.402,-6.02,2.455,inf,1.0
inf,7.785,7.875,-2.701,inf,1.0
inf,-2.098,-7.984,-5.156,inf,1.0
43460.0,-4.605,1.125,6.824,43460.0,1.0
inf,-8.5,2.824,-8.016,inf,1.0
inf,0.1869,8.69,-2.812,inf,1.0
inf,8.46,-3.756,6.25,inf,1.0
inf,8.766,6.246,8.055,inf,1.0
inf,-9.62,6.895,1.932,inf,1.0
inf,9.4,0.848,5.363,inf,1.0
inf,-8.86,0.2021,-3.916,inf,1.0
inf,2.238,-9.41,-9.1,inf,1.0
inf,-7.992,-5.617,-2.19,inf,1.0
9704.0,-2.057,-0.0441,-8.87,9704.0,1.0
inf,-1.955,6.902,-9.3,inf,1.0
inf,5.703,-9.84,-6.582,inf,1.0
inf,7.043,-9.6,-4.75,inf,1.0
inf,-5.895,6.08,9.125,inf,1.0
inf,-2.96,-5.555,-6.527,inf,1.0
inf,-5.305,-3.936,6.633,inf,1.0
19920.0,2.691,1.757,-9.914,19920.0,1.0
inf,-7.9,2.28,9.695,inf,1.0
3336.0,-1.649,-2.736,9.33,3336.0,1.0
32200.0,-3.537,-3.133,1.072,32200.0,1.0
inf,-9.266,7.52,-3.639,inf,1.0
1223.0,1.694,-0.245,-1.522,1223.0,1.0
inf,-1.628,-5.652,7.69,inf,1.0
19070.0,-3.68,-0.2588,0.4365,19070.0,1.0
inf,2.049,6.164,-0.319,inf,1.0
inf,-5.945,-6.617,0.4316,inf,1.0
48450.0,4.25,4.656,4.227,48450.0,1.0
inf,-4.44,4.95,-1.279,inf,1.0
inf,0.4827,-6.44,2.066,inf,1.0
inf,-9.49,-0.2451,4.113,inf,1.0
inf,9.36,-7.01,-7.562,inf,1.0
inf,6.305,5.176,8.2,inf,1.0
inf,-9.35,3.023,-2.447,inf,1.0
12090.0,2.672,-0.899,-6.69,12090.0,1.0
inf,-9.234,5.49,2.5,inf,1.0
4924.0,0.6953,-1.407,8.734,4924.0,1.0
inf,-5.96,-8.97,-1.126,inf,1.0
42980.0,4.35,0.1554,8.77,42980.0,1.0
inf,0.7163,7.297,2.172,inf,1.0
2856.0,0.8745,2.68,2.191,2856.0,1.0
21420.0,3.164,-3.121,3.31,21420.0,1.0
inf,-7.1,2.389,-2.354,inf,1.0
inf,3.121,-9.13,4.746,inf,1.0
4524.0,-0.829,0.8975,-5.914,4524.0,1.0
inf,3.35,6.227,6.48,inf,1.0
inf,7.297,-6.406,3.312,inf,1.0
inf,8.22,4.27,-3.195,inf,1.0
6028.0,2.797,0.662,-2.547,6028.0,1.0
inf,8.805,-3.514,-6.227,inf,1.0
6060.0,-0.1517,0.821,8.414,6060.0,1.0
inf,1.055,-5.37,0.9004,inf,1.0
inf,9.81,-7.555,1.45,inf,1.0
inf,6.965,8.45,-6.367,inf,1.0
inf,-6.344,0.7705,6.594,inf,1.0
inf,-3.346,5.55,-9.734,inf,1.0
inf,-2.307,-8.6,6.254,inf,1.0
27250.0,-4.105,1.535,8.46,27250.0,1.0
inf,8.56,2.832,9.984,inf,1.0
inf,-6.766,-5.375,-2.936,inf,1.0
inf,9.555,2.326,-8.766,inf,1.0
15816.0,3.93,3.117,7.22,15816.0,1.0
inf,-6.094,-4.836,5.76,inf,1.0
inf,4.297,-5.777,5.41,inf,1.0
7280.0,1.574,1.19,9.85,7280.0,1.0
inf,1.584,9.41,8.695,inf,1.0
inf,-3.39,-10.0,-0.03665,inf,1.0
inf,7.965,8.93,-4.812,inf,1.0
inf,-1.426,9.03,4.52,inf,1.0
inf,8.94,1.867,-2.139,inf,1.0
inf,-4.625,-5.723,-9.78,inf,1.0
19730.0,-0.191,-2.695,-6.51,19730.0,1.0
inf,1.843,-8.34,4.348,inf,1.0
882.0,-0.1786,0.03574,2.967,882.0,1.0
inf,-3.52,6.645,4.562,inf,1.0
inf,-4.125,4.72,-0.4248,inf,1.0
inf,-7.86,3.408,-9.02,inf,1.0
inf,8.805,6.363,3.508,inf,1.0
inf,-2.07,8.65,-7.83,inf,1.0
inf,8.84,5.58,-6.836,inf,1.0
27120.0,-1.853,3.611,-3.416,27120.0,1.0
inf,5.63,6.188,-4.473,inf,1.0
inf,-6.734,-7.066,-0.4177,inf,1.0
39520.0,-3.58,-3.283,-0.866,39520.0,1.0
inf,-9.63,1.255,0.4446,inf,1.0
14420.0,1.623,-1.885,-7.57,14420.0,1.0
inf,9.88,4.188,7.53,inf,1.0
inf,-5.945,-6.965,-4.21,inf,1.0
56450.0,3.602,4.13,-5.004,56450.0,1.0
inf,7.12,-5.008,0.635,inf,1.0
